en	th	kind	note
MATT	อุชิโอะ	characters	ผู้บริหารแก๊งอควา ชาย ห้าว | ข้า/ฉัน ลงท้าย เว้ย
SHELLY	อิซุมิ	characters	ผู้บริหารแก๊งอควา หญิง | ฉัน ลงท้าย นะ/ล่ะ
TEAM MAGMA	แก๊งแม็กม่า	characters	
TEAM AQUA	แก๊งอควา	characters	
MAGMA	แม็กม่า	characters	
AQUA	อควา	characters	
SCOTT	เอนิชิดะ	characters	ผม ลงท้าย ครับ/นะ อารมณ์ดี
ANABEL	ลิระ	characters	Frontier Brain หญิง | ฉัน ลงท้าย ค่ะ
TUCKER	ฮีธ	characters	Frontier Brain ชาย ขี้โอ่ | ผม/ข้า
SPENSER	อุคง	characters	Frontier Brain ชายชรา | ข้า
GRETA	โคโกมิ	characters	Frontier Brain หญิง ร่าเริง | ฉัน
NOLAND	ดัตสึระ	characters	Frontier Brain ชาย | ผม/ฉัน
LUCY	อาซามิ	characters	Frontier Brain หญิง เงียบขรึม | ฉัน พูดสั้น
BRANDON	จินได	characters	Frontier Brain ชาย นักสำรวจ | ข้า
LANETTE	มายุมิ	characters	ผู้พัฒนาระบบ PC | ฉัน ลงท้าย ค่ะ
CAPT. STERN	กัปตันคุสึโนกิ	characters	
STERN	คุสึโนกิ	characters	
MR. BRINEY	ลุงฮางิ	characters	ข้า ลงท้าย นะ
PEEKO	ปีโกะ	characters	
GABBY	มาริ	characters	
TY	ได	characters	
COZMO	ดร.โซราอิชิ	characters	
RYDEL	คาเซโนะ	characters	
PROF. OAK	ศาสตราจารย์โอคิโด	characters	
DEVON	เดวอน	characters	
DEVON CORPORATION	บริษัทเดวอน	characters	
HOENN	โฮเอ็น	characters	
KANTO	คันโต	characters	
JOHTO	โจโต	characters	
LITTLEROOT	มิชิโระ	characters	
OLDALE	โคโทกิ	characters	
PETALBURG	โทกะ	characters	
RUSTBORO	คานาซุมิ	characters	
DEWFORD	มุโระ	characters	
SLATEPORT	ไคนะ	characters	
MAUVILLE	คินเซ็ตสึ	characters	
VERDANTURF	ชิดาเกะ	characters	
FALLARBOR	ฮาจิตสึเกะ	characters	
LAVARIDGE	ฟุเอ็น	characters	
FORTREE	ฮิวามากิ	characters	
LILYCOVE	มินาโมะ	characters	
MOSSDEEP	โทคุซาเนะ	characters	
SOOTOPOLIS	รุเนะ	characters	
PACIFIDLOG	คินางิ	characters	
EVER GRANDE	ไซยู	characters	
TOWN / CITY	เมือง<ชื่อ>	characters	เช่น LITTLEROOT TOWN = เมืองมิชิโระ, RUSTBORO CITY = เมืองคานาซุมิ
ROUTE 101	เส้นทาง 101	characters	
POKéMON	โปเกมอน	characters	
POKéDEX	โปเกเด็กซ์	characters	
POKéNAV	โปเกนาวี	characters	
POKé BALL	มอนสเตอร์บอล	characters	
POKéMON CENTER	โปเกมอนเซ็นเตอร์	characters	
POKé MART	โปเกมาร์ท	characters	
POKéBLOCK	โปเกบล็อก	characters	
TRAINER	เทรนเนอร์	characters	
GYM LEADER	หัวหน้ายิม	characters	
ELITE FOUR	จตุรเทพ	characters	
CHAMPION	แชมเปี้ยน	characters	
BADGE	เข็มกลัด	characters	
BATTLE FRONTIER	แบทเทิลฟรอนเทียร์	characters	
FRONTIER BRAIN	ฟรอนเทียร์เบรน	characters	
SECRET BASE	ฐานลับ	characters	
CONTEST	คอนเทสต์	characters	
BERRY	เบอร์รี่	characters	
HM / TM	HM / TM	characters	
move	ท่า	characters	
ability	คุณสมบัติ	characters	
EGG	ไข่	characters	
SOLID BOARD	แผ่นไม้แข็ง	decoration	
SLIDE	สไลเดอร์	decoration	
TIRE	ยางรถ	decoration	
STAND	แท่นยืน	decoration	
MUD BALL	ก้อนโคลน	decoration	
BREAKABLE DOOR	ประตูพังได้	decoration	
SAND ORNAMENT	รูปปั้นทราย	decoration	
SILVER SHIELD	โล่เงิน	decoration	
GOLD SHIELD	โล่ทอง	decoration	
GLASS ORNAMENT	รูปปั้นแก้ว	decoration	
TV	ทีวี	decoration	
GLITTER MAT	พรมระยิบระยับ	decoration	
JUMP MAT	พรมกระโดด	decoration	
SPIN MAT	พรมหมุน	decoration	
POKé BALL	มอนสเตอร์บอล	item	
BATTLE FRONTIER	แบทเทิลฟรอนเทียร์	location	
SECRET BASE	ฐานลับ	location	
GROUND	ดิน	type	
FIRE	ไฟ	type	
BIND	รัดแน่น	move	
MIST	หมอกขาว	move	
LEECH SEED	เมล็ดกาฝาก	move	
RAGE	เดือดดาล	move	
FLASH	แฟลช	move	
SUBSTITUTE	ตัวตายตัวแทน	move	
NIGHTMARE	ฝันร้าย	move	
CURSE	คำสาป	move	
SPIKES	โปรยหนาม	move	
SAFEGUARD	พรคุ้มครอง	move	
MAGNITUDE	แมกนิจูด	move	
ENCORE	อังกอร์	move	
UPROAR	โวยวาย	move	
HAIL	ลูกเห็บ	move	
TORMENT	หาเรื่อง	move	
NATURE POWER	พลังธรรมชาติ	move	
TAUNT	ยั่วยุ	move	
WISH	คำอธิษฐาน	move	
MAGIC COAT	เมจิกโค้ท	move	
GRUDGE	แค้นฝังใจ	move	
SAND TOMB	นรกทราย	move	
BEAUTY	สาวสวย	trainer_class	
CHAMPION	แชมเปี้ยน	trainer_class	
SPINDA	พัทชีล	frontier_trainer	
SPINDA	พัทชีล	frontier_trainer	
SEED	เมล็ดพันธุ์	dex_category	
SEED	เมล็ดพันธุ์	dex_category	
SEED	เมล็ดพันธุ์	dex_category	
BALL	ลูกบอล	dex_category	
BALL	ลูกบอล	dex_category	
SPIKES	หนามแหลม	dex_category	
SEED	เมล็ดพันธุ์	dex_category	
WISH	คำอธิษฐาน	dex_category	
SPINDA	พัทชีล	species	
