en	th	kind	note
MATT	อุชิโอะ	characters	ผู้บริหารแก๊งอควา ชาย ห้าว | ข้า/ฉัน ลงท้าย เว้ย
SHELLY	อิซุมิ	characters	ผู้บริหารแก๊งอควา หญิง | ฉัน ลงท้าย นะ/ล่ะ
TEAM MAGMA	แก๊งแม็กม่า	characters	
TEAM AQUA	แก๊งอควา	characters	
MAGMA	แม็กม่า	characters	
AQUA	อควา	characters	
SCOTT	เอนิชิดะ	characters	ผม ลงท้าย ครับ/นะ อารมณ์ดี
ANABEL	ลิระ	characters	Frontier Brain หญิง | ฉัน ลงท้าย ค่ะ
TUCKER	ฮีธ	characters	Frontier Brain ชาย ขี้โอ่ | ผม/ข้า
SPENSER	อุคง	characters	Frontier Brain ชายชรา | ข้า
GRETA	โคโกมิ	characters	Frontier Brain หญิง ร่าเริง | ฉัน
NOLAND	ดัตสึระ	characters	Frontier Brain ชาย | ผม/ฉัน
LUCY	อาซามิ	characters	Frontier Brain หญิง เงียบขรึม | ฉัน พูดสั้น
BRANDON	จินได	characters	Frontier Brain ชาย นักสำรวจ | ข้า
LANETTE	มายุมิ	characters	ผู้พัฒนาระบบ PC | ฉัน ลงท้าย ค่ะ
CAPT. STERN	กัปตันคุสึโนกิ	characters	
STERN	คุสึโนกิ	characters	
MR. BRINEY	ลุงฮางิ	characters	ข้า ลงท้าย นะ
PEEKO	ปีโกะ	characters	
GABBY	มาริ	characters	
TY	ได	characters	
COZMO	ดร.โซราอิชิ	characters	
RYDEL	คาเซโนะ	characters	
PROF. OAK	ศาสตราจารย์โอคิโด	characters	
DEVON	เดวอน	characters	
DEVON CORPORATION	บริษัทเดวอน	characters	
HOENN	โฮเอ็น	characters	
KANTO	คันโต	characters	
JOHTO	โจโต	characters	
LITTLEROOT	มิชิโระ	characters	
OLDALE	โคโทกิ	characters	
PETALBURG	โทกะ	characters	
RUSTBORO	คานาซุมิ	characters	
DEWFORD	มุโระ	characters	
SLATEPORT	ไคนะ	characters	
MAUVILLE	คินเซ็ตสึ	characters	
VERDANTURF	ชิดาเกะ	characters	
FALLARBOR	ฮาจิตสึเกะ	characters	
LAVARIDGE	ฟุเอ็น	characters	
FORTREE	ฮิวามากิ	characters	
LILYCOVE	มินาโมะ	characters	
MOSSDEEP	โทคุซาเนะ	characters	
SOOTOPOLIS	รุเนะ	characters	
PACIFIDLOG	คินางิ	characters	
EVER GRANDE	ไซยู	characters	
TOWN / CITY	เมือง<ชื่อ>	characters	เช่น LITTLEROOT TOWN = เมืองมิชิโระ, RUSTBORO CITY = เมืองคานาซุมิ
ROUTE 101	เส้นทาง 101	characters	
POKéMON	โปเกมอน	characters	
POKéDEX	โปเกเด็กซ์	characters	
POKéNAV	โปเกนาวี	characters	
POKé BALL	มอนสเตอร์บอล	characters	
POKéMON CENTER	โปเกมอนเซ็นเตอร์	characters	
POKé MART	โปเกมาร์ท	characters	
POKéBLOCK	โปเกบล็อก	characters	
TRAINER	เทรนเนอร์	characters	
GYM LEADER	หัวหน้ายิม	characters	
ELITE FOUR	จตุรเทพ	characters	
CHAMPION	แชมเปี้ยน	characters	
BADGE	เข็มกลัด	characters	
BATTLE FRONTIER	แบทเทิลฟรอนเทียร์	characters	
FRONTIER BRAIN	ฟรอนเทียร์เบรน	characters	
SECRET BASE	ฐานลับ	characters	
CONTEST	คอนเทสต์	characters	
BERRY	เบอร์รี่	characters	
HM / TM	HM / TM	characters	
move	ท่า	characters	
ability	คุณสมบัติ	characters	
EGG	ไข่	characters	
SODA POP	ไซโคโซดา	item	
WHITE FLUTE	ขลุ่ยขาว	item	
GO-GOGGLES	แว่นโกโก	item	
MT. CHIMNEY	ภูเขาปล่องไฟ	location	
ABANDONED SHIP	เรือร้าง	location	
METEOR FALLS	น้ำตกดาวตก	location	
METEOR FALLS	น้ำตกดาวตก	location	
MT. PYRE	ภูเขาส่งวิญญาณ	location	
FIERY PATH	ทางลัดเปลวไฟ	location	
FIERY PATH	ทางลัดเปลวไฟ	location	
POKéMON LEAGUE	โปเกมอนลีก	location	
BUG	แมลง	type	
WATER	น้ำ	type	
FLY	บินขึ้นฟ้า	move	
SURF	โต้คลื่น	move	
PSYCHIC	ไซโคคิเนซิส	move	
TELEPORT	เทเลพอร์ต	move	
MIMIC	เลียนแบบ	move	
HIKER	นักปีนเขา	trainer_class	
BUG MANIAC	คลั่งแมลง	trainer_class	
PSYCHIC	ผู้มีพลังจิต	trainer_class	
LEADER	หัวหน้ายิม	trainer_class	
FISHERMAN	นักตกปลา	trainer_class	
SAILOR	กะลาสี	trainer_class	
BUG CATCHER	เด็กจับแมลง	trainer_class	
MACHOP	วันริกี	frontier_trainer	
ROXANNE	สึสึจิ	trainer_name	
PAUL	พอล	trainer_name	
ROXANNE	สึสึจิ	trainer_name	
ROXANNE	สึสึจิ	trainer_name	
ROXANNE	สึสึจิ	trainer_name	
ROXANNE	สึสึจิ	trainer_name	
BIRD	นก	dex_category	
BIRD	นก	dex_category	
SANDSHREW	แซนด์	species	
MACHOP	วันริกี	species	
MAGIKARP	คอยคิง	species	
NUMEL	ดอนเมล	species	
