en	th	kind	note
MATT	อุชิโอะ	characters	ผู้บริหารแก๊งอควา ชาย ห้าว | ข้า/ฉัน ลงท้าย เว้ย
SHELLY	อิซุมิ	characters	ผู้บริหารแก๊งอควา หญิง | ฉัน ลงท้าย นะ/ล่ะ
TEAM MAGMA	แก๊งแม็กม่า	characters	
TEAM AQUA	แก๊งอควา	characters	
MAGMA	แม็กม่า	characters	
AQUA	อควา	characters	
SCOTT	เอนิชิดะ	characters	ผม ลงท้าย ครับ/นะ อารมณ์ดี
ANABEL	ลิระ	characters	Frontier Brain หญิง | ฉัน ลงท้าย ค่ะ
TUCKER	ฮีธ	characters	Frontier Brain ชาย ขี้โอ่ | ผม/ข้า
SPENSER	อุคง	characters	Frontier Brain ชายชรา | ข้า
GRETA	โคโกมิ	characters	Frontier Brain หญิง ร่าเริง | ฉัน
NOLAND	ดัตสึระ	characters	Frontier Brain ชาย | ผม/ฉัน
LUCY	อาซามิ	characters	Frontier Brain หญิง เงียบขรึม | ฉัน พูดสั้น
BRANDON	จินได	characters	Frontier Brain ชาย นักสำรวจ | ข้า
LANETTE	มายุมิ	characters	ผู้พัฒนาระบบ PC | ฉัน ลงท้าย ค่ะ
CAPT. STERN	กัปตันคุสึโนกิ	characters	
STERN	คุสึโนกิ	characters	
MR. BRINEY	ลุงฮางิ	characters	ข้า ลงท้าย นะ
PEEKO	ปีโกะ	characters	
GABBY	มาริ	characters	
TY	ได	characters	
COZMO	ดร.โซราอิชิ	characters	
RYDEL	คาเซโนะ	characters	
PROF. OAK	ศาสตราจารย์โอคิโด	characters	
DEVON	เดวอน	characters	
DEVON CORPORATION	บริษัทเดวอน	characters	
HOENN	โฮเอ็น	characters	
KANTO	คันโต	characters	
JOHTO	โจโต	characters	
LITTLEROOT	มิชิโระ	characters	
OLDALE	โคโทกิ	characters	
PETALBURG	โทกะ	characters	
RUSTBORO	คานาซุมิ	characters	
DEWFORD	มุโระ	characters	
SLATEPORT	ไคนะ	characters	
MAUVILLE	คินเซ็ตสึ	characters	
VERDANTURF	ชิดาเกะ	characters	
FALLARBOR	ฮาจิตสึเกะ	characters	
LAVARIDGE	ฟุเอ็น	characters	
FORTREE	ฮิวามากิ	characters	
LILYCOVE	มินาโมะ	characters	
MOSSDEEP	โทคุซาเนะ	characters	
SOOTOPOLIS	รุเนะ	characters	
PACIFIDLOG	คินางิ	characters	
EVER GRANDE	ไซยู	characters	
TOWN / CITY	เมือง<ชื่อ>	characters	เช่น LITTLEROOT TOWN = เมืองมิชิโระ, RUSTBORO CITY = เมืองคานาซุมิ
ROUTE 101	เส้นทาง 101	characters	
POKéMON	โปเกมอน	characters	
POKéDEX	โปเกเด็กซ์	characters	
POKéNAV	โปเกนาวี	characters	
POKé BALL	POKé BALL	characters	ชื่อไอเท็ม คงภาษาอังกฤษ
POKéMON CENTER	โปเกมอนเซ็นเตอร์	characters	
POKé MART	โปเกมาร์ท	characters	
POKéBLOCK	โปเกบล็อก	characters	
TRAINER	เทรนเนอร์	characters	
GYM LEADER	หัวหน้ายิม	characters	
ELITE FOUR	จตุรเทพ	characters	
CHAMPION	แชมเปี้ยน	characters	
BADGE	เข็มกลัด	characters	
BATTLE FRONTIER	แบทเทิลฟรอนเทียร์	characters	
FRONTIER BRAIN	ฟรอนเทียร์เบรน	characters	
SECRET BASE	ฐานลับ	characters	
CONTEST	คอนเทสต์	characters	
BERRY	เบอร์รี่	characters	คำทั่วไปใช้ เบอร์รี่ แต่ชื่อไอเท็มเบอร์รี่ (เช่น ORAN BERRY) คงภาษาอังกฤษ
HM / TM	HM / TM	characters	ชื่อไอเท็ม คงภาษาอังกฤษ
move	ท่า	characters	
ability	คุณสมบัติ	characters	
EGG	ไข่	characters	
DAY CARE	สถานรับเลี้ยง	contest	
TRAINER'S SCHOOL	โรงเรียนเทรนเนอร์	contest	
TRAINER HILL	เทรนเนอร์ฮิลล์	frontier	
ROCK	ROCK	type	คงภาษาอังกฤษตามต้นฉบับ
FIRE	FIRE	type	คงภาษาอังกฤษตามต้นฉบับ
WATER	WATER	type	คงภาษาอังกฤษตามต้นฉบับ
GRASS	GRASS	type	คงภาษาอังกฤษตามต้นฉบับ
ICE	ICE	type	คงภาษาอังกฤษตามต้นฉบับ
GREAT BALL	GREAT BALL	item	คงภาษาอังกฤษตามต้นฉบับ
POKé BALL	POKé BALL	item	คงภาษาอังกฤษตามต้นฉบับ
REPEAT BALL	REPEAT BALL	item	คงภาษาอังกฤษตามต้นฉบับ
TIMER BALL	TIMER BALL	item	คงภาษาอังกฤษตามต้นฉบับ
POTION	POTION	item	คงภาษาอังกฤษตามต้นฉบับ
ANTIDOTE	ANTIDOTE	item	คงภาษาอังกฤษตามต้นฉบับ
BURN HEAL	BURN HEAL	item	คงภาษาอังกฤษตามต้นฉบับ
ICE HEAL	ICE HEAL	item	คงภาษาอังกฤษตามต้นฉบับ
AWAKENING	AWAKENING	item	คงภาษาอังกฤษตามต้นฉบับ
PARLYZ HEAL	PARLYZ HEAL	item	คงภาษาอังกฤษตามต้นฉบับ
BLUE FLUTE	BLUE FLUTE	item	คงภาษาอังกฤษตามต้นฉบับ
RED SHARD	RED SHARD	item	คงภาษาอังกฤษตามต้นฉบับ
BLUE SHARD	BLUE SHARD	item	คงภาษาอังกฤษตามต้นฉบับ
YELLOW SHARD	YELLOW SHARD	item	คงภาษาอังกฤษตามต้นฉบับ
GREEN SHARD	GREEN SHARD	item	คงภาษาอังกฤษตามต้นฉบับ
ESCAPE ROPE	ESCAPE ROPE	item	คงภาษาอังกฤษตามต้นฉบับ
FIRE STONE	FIRE STONE	item	คงภาษาอังกฤษตามต้นฉบับ
THUNDERSTONE	THUNDERSTONE	item	คงภาษาอังกฤษตามต้นฉบับ
WATER STONE	WATER STONE	item	คงภาษาอังกฤษตามต้นฉบับ
LEAF STONE	LEAF STONE	item	คงภาษาอังกฤษตามต้นฉบับ
MACHO BRACE	MACHO BRACE	item	คงภาษาอังกฤษตามต้นฉบับ
EXP. SHARE	EXP. SHARE	item	คงภาษาอังกฤษตามต้นฉบับ
QUICK CLAW	QUICK CLAW	item	คงภาษาอังกฤษตามต้นฉบับ
BLACKGLASSES	BLACKGLASSES	item	คงภาษาอังกฤษตามต้นฉบับ
GOOD ROD	GOOD ROD	item	คงภาษาอังกฤษตามต้นฉบับ
DEVON GOODS	DEVON GOODS	item	คงภาษาอังกฤษตามต้นฉบับ
SOOT SACK	SOOT SACK	item	คงภาษาอังกฤษตามต้นฉบับ
LETTER	LETTER	item	คงภาษาอังกฤษตามต้นฉบับ
METEORITE	METEORITE	item	คงภาษาอังกฤษตามต้นฉบับ
ROOT FOSSIL	ROOT FOSSIL	item	คงภาษาอังกฤษตามต้นฉบับ
CLAW FOSSIL	CLAW FOSSIL	item	คงภาษาอังกฤษตามต้นฉบับ
DEVON SCOPE	DEVON SCOPE	item	คงภาษาอังกฤษตามต้นฉบับ
TM05	TM05	item	คงภาษาอังกฤษตามต้นฉบับ
TM39	TM39	item	คงภาษาอังกฤษตามต้นฉบับ
-	-	move	คงภาษาอังกฤษตามต้นฉบับ
CUT	CUT	move	คงภาษาอังกฤษตามต้นฉบับ
FLY	FLY	move	คงภาษาอังกฤษตามต้นฉบับ
ROAR	ROAR	move	คงภาษาอังกฤษตามต้นฉบับ
SURF	SURF	move	คงภาษาอังกฤษตามต้นฉบับ
DIG	DIG	move	คงภาษาอังกฤษตามต้นฉบับ
REST	REST	move	คงภาษาอังกฤษตามต้นฉบับ
SECRET POWER	SECRET POWER	move	คงภาษาอังกฤษตามต้นฉบับ
ROCK TOMB	ROCK TOMB	move	คงภาษาอังกฤษตามต้นฉบับ
LAVARIDGE TOWN	เมืองฟุเอ็น	location	
FALLARBOR TOWN	เมืองฮาจิตสึเกะ	location	
VERDANTURF TOWN	เมืองชิดาเกะ	location	
PETALBURG CITY	เมืองโทกะ	location	
MAUVILLE CITY	เมืองคินเซ็ตสึ	location	
RUSTBORO CITY	เมืองคานาซุมิ	location	
FORTREE CITY	เมืองฮิวามากิ	location	
ROUTE 111	เส้นทาง 111	location	
ROUTE 112	เส้นทาง 112	location	
ROUTE 113	เส้นทาง 113	location	
ROUTE 115	เส้นทาง 115	location	
ROUTE 116	เส้นทาง 116	location	
ROUTE 117	เส้นทาง 117	location	
ROUTE 118	เส้นทาง 118	location	
ROUTE 119	เส้นทาง 119	location	
ROUTE 120	เส้นทาง 120	location	
ROUTE 121	เส้นทาง 121	location	
ROUTE 123	เส้นทาง 123	location	
MT. CHIMNEY	ภูเขาปล่องไฟ	location	
PETALBURG WOODS	ป่าโทกะ	location	
RUSTURF TUNNEL	อุโมงค์คานาชิดะ	location	
METEOR FALLS	น้ำตกดาวตก	location	
METEOR FALLS	น้ำตกดาวตก	location	
MT. PYRE	ภูเขาส่งวิญญาณ	location	
SECRET BASE	ฐานลับ	location	
ROUTE 1	เส้นทาง 1	location	
ROUTE 11	เส้นทาง 11	location	
ROUTE 12	เส้นทาง 12	location	
POKéMON LEAGUE	โปเกมอนลีก	location	
MIRAGE TOWER	หอคอยมายา	location	
TRAINER HILL	เทรนเนอร์ฮิล	location	
JOLLY	ร่าเริง	nature	
NAIVE	ไร้เดียงสา	nature	
TEAM AQUA	แก๊งอควา	trainer_class	
TEAM MAGMA	แก๊งแม็กม่า	trainer_class	
LADY	คุณหนู	trainer_class	
LEADER	หัวหน้ายิม	trainer_class	
WINSTRATE	คาจินุกิ	trainer_class	
CHAMPION	แชมเปี้ยน	trainer_class	
HUNTER	ฮันเตอ	trainer_name	
SKITTY	เอเนโกะ	frontier_trainer	
PIKACHU	ปิกาจู	frontier_trainer	
DEVON	เดวอน	contest_opponent	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
ARCHIE	อาโอกิริ	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
ROXANNE	สึสึจิ	trainer_name	
BRAWLY	โทคิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
BRENDAN	ยูกิ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAXIE	มัตสึบุสะ	trainer_name	
MAXIE	มัตสึบุสะ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
GRUNT	ลูกสมุน	trainer_name	
MAXIE	มัตสึบุสะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
ROXANNE	สึสึจิ	trainer_name	
ROXANNE	สึสึจิ	trainer_name	
ROXANNE	สึสึจิ	trainer_name	
ROXANNE	สึสึจิ	trainer_name	
BRAWLY	โทคิ	trainer_name	
BRAWLY	โทคิ	trainer_name	
BRAWLY	โทคิ	trainer_name	
BRAWLY	โทคิ	trainer_name	
STEVEN	ไดโกะ	trainer_name	
RED	เรด	trainer_name	
LEAF	ลีฟ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
MAY	ฮารุกะ	trainer_name	
BIRD	นก	dex_category	
BIRD	นก	dex_category	
ROCK	หิน	dex_category	
ROCK	หิน	dex_category	
BALL	ลูกบอล	dex_category	
BALL	ลูกบอล	dex_category	
FOSSIL	ฟอสซิล	dex_category	
LEAF	ใบไม้	dex_category	
LEAF	ใบไม้	dex_category	
DIVING	ดำน้ำ	dex_category	
JOLLY	ร่าเริง	dex_category	
METEORITE	อุกกาบาต	dex_category	
METEORITE	อุกกาบาต	dex_category	
WEATHER	สภาพอากาศ	dex_category	
PIKACHU	ปิกาจู	species	
SEEDOT	ทาเนโบ	species	
SHROOMISH	คิโนโคโคะ	species	
WINGULL	เคียโมเมะ	species	
SKITTY	เอเนโกะ	species	
CASTFORM	โปวาลุน	species	
