en	th	kind	note
MATT	อุชิโอะ	characters	ผู้บริหารแก๊งอควา ชาย ห้าว | ข้า/ฉัน ลงท้าย เว้ย
SHELLY	อิซุมิ	characters	ผู้บริหารแก๊งอควา หญิง | ฉัน ลงท้าย นะ/ล่ะ
TEAM MAGMA	แก๊งแม็กม่า	characters	
TEAM AQUA	แก๊งอควา	characters	
MAGMA	แม็กม่า	characters	
AQUA	อควา	characters	
SCOTT	เอนิชิดะ	characters	ผม ลงท้าย ครับ/นะ อารมณ์ดี
ANABEL	ลิระ	characters	Frontier Brain หญิง | ฉัน ลงท้าย ค่ะ
TUCKER	ฮีธ	characters	Frontier Brain ชาย ขี้โอ่ | ผม/ข้า
SPENSER	อุคง	characters	Frontier Brain ชายชรา | ข้า
GRETA	โคโกมิ	characters	Frontier Brain หญิง ร่าเริง | ฉัน
NOLAND	ดัตสึระ	characters	Frontier Brain ชาย | ผม/ฉัน
LUCY	อาซามิ	characters	Frontier Brain หญิง เงียบขรึม | ฉัน พูดสั้น
BRANDON	จินได	characters	Frontier Brain ชาย นักสำรวจ | ข้า
LANETTE	มายุมิ	characters	ผู้พัฒนาระบบ PC | ฉัน ลงท้าย ค่ะ
CAPT. STERN	กัปตันคุสึโนกิ	characters	
STERN	คุสึโนกิ	characters	
MR. BRINEY	ลุงฮางิ	characters	ข้า ลงท้าย นะ
PEEKO	ปีโกะ	characters	
GABBY	มาริ	characters	
TY	ได	characters	
COZMO	ดร.โซราอิชิ	characters	
RYDEL	คาเซโนะ	characters	
PROF. OAK	ศาสตราจารย์โอคิโด	characters	
DEVON	เดวอน	characters	
DEVON CORPORATION	บริษัทเดวอน	characters	
HOENN	โฮเอ็น	characters	
KANTO	คันโต	characters	
JOHTO	โจโต	characters	
LITTLEROOT	มิชิโระ	characters	
OLDALE	โคโทกิ	characters	
PETALBURG	โทกะ	characters	
RUSTBORO	คานาซุมิ	characters	
DEWFORD	มุโระ	characters	
SLATEPORT	ไคนะ	characters	
MAUVILLE	คินเซ็ตสึ	characters	
VERDANTURF	ชิดาเกะ	characters	
FALLARBOR	ฮาจิตสึเกะ	characters	
LAVARIDGE	ฟุเอ็น	characters	
FORTREE	ฮิวามากิ	characters	
LILYCOVE	มินาโมะ	characters	
MOSSDEEP	โทคุซาเนะ	characters	
SOOTOPOLIS	รุเนะ	characters	
PACIFIDLOG	คินางิ	characters	
EVER GRANDE	ไซยู	characters	
TOWN / CITY	เมือง<ชื่อ>	characters	เช่น LITTLEROOT TOWN = เมืองมิชิโระ, RUSTBORO CITY = เมืองคานาซุมิ
ROUTE 101	เส้นทาง 101	characters	
POKéMON	โปเกมอน	characters	
POKéDEX	โปเกเด็กซ์	characters	
POKéNAV	โปเกนาวี	characters	
POKé BALL	POKé BALL	characters	ชื่อไอเท็ม คงภาษาอังกฤษ
POKéMON CENTER	โปเกมอนเซ็นเตอร์	characters	
POKé MART	โปเกมาร์ท	characters	
POKéBLOCK	โปเกบล็อก	characters	
TRAINER	เทรนเนอร์	characters	
GYM LEADER	หัวหน้ายิม	characters	
ELITE FOUR	จตุรเทพ	characters	
CHAMPION	แชมเปี้ยน	characters	
BADGE	เข็มกลัด	characters	
BATTLE FRONTIER	แบทเทิลฟรอนเทียร์	characters	
FRONTIER BRAIN	ฟรอนเทียร์เบรน	characters	
SECRET BASE	ฐานลับ	characters	
CONTEST	คอนเทสต์	characters	
BERRY	เบอร์รี่	characters	คำทั่วไปใช้ เบอร์รี่ แต่ชื่อไอเท็มเบอร์รี่ (เช่น ORAN BERRY) คงภาษาอังกฤษ
HM / TM	HM / TM	characters	ชื่อไอเท็ม คงภาษาอังกฤษ
move	ท่า	characters	
ability	คุณสมบัติ	characters	
EGG	ไข่	characters	
GROUND	GROUND	type	คงภาษาอังกฤษตามต้นฉบับ
BUG	BUG	type	คงภาษาอังกฤษตามต้นฉบับ
STEEL	STEEL	type	คงภาษาอังกฤษตามต้นฉบับ
FIRE	FIRE	type	คงภาษาอังกฤษตามต้นฉบับ
WATER	WATER	type	คงภาษาอังกฤษตามต้นฉบับ
GRASS	GRASS	type	คงภาษาอังกฤษตามต้นฉบับ
GREAT BALL	GREAT BALL	item	คงภาษาอังกฤษตามต้นฉบับ
POKé BALL	POKé BALL	item	คงภาษาอังกฤษตามต้นฉบับ
POKéMON LEAGUE	โปเกมอนลีก	location	
PLUS	พลัส	ability	
MINUS	ไมนัส	ability	
CHAMPION	แชมเปี้ยน	trainer_class	
MISDREAVUS	มูมา	frontier_trainer	
CLAYDOL	เนนดอล	frontier_trainer	
SEALEO	โทโดกลาร์	frontier_trainer	
FLAREON	บูสเตอร์	frontier_trainer	
PINSIR	ไคลอส	frontier_trainer	
HITMONTOP	คาโปเอลาร์	frontier_trainer	
PINSIR	ไคลอส	frontier_trainer	
MINUN	ไมนัน	frontier_trainer	
ROSELIA	โรเซเลีย	frontier_trainer	
MR. MIME	บาร์ริยาด	frontier_trainer	
PLUSLE	พลาสุรุ	frontier_trainer	
VAPOREON	ชาวเวอร์ส	frontier_trainer	
OMASTAR	ออมสตาร์	frontier_trainer	
SKITTY	เอเนโกะ	frontier_trainer	
STANTLER	โอโดชิชิ	frontier_trainer	
BLISSEY	แฮปปินาส	frontier_trainer	
ESPEON	เอฟี	frontier_trainer	
BELLOSSOM	คิเรฮานะ	frontier_trainer	
MEGANIUM	เมกาเนียม	frontier_trainer	
DELIBIRD	เดลิเบิร์ด	frontier_trainer	
PIKACHU	ปิกาจู	frontier_trainer	
TOGETIC	โทเกชิก	frontier_trainer	
SABLEYE	ยามิรามิ	frontier_trainer	
CORSOLA	ซันนีโกะ	frontier_trainer	
CLAMPERL	เพิร์ลรู	frontier_trainer	
JYNX	รูจูลา	frontier_trainer	
WOOPER	อุปา	frontier_trainer	
MAGNEMITE	คอยล์	frontier_trainer	
BALTOY	ยาจิลอน	frontier_trainer	
PINECO	คุนุกิดามะ	frontier_trainer	
UNOWN	อันโนน	frontier_trainer	
UNOWN	อันโนน	frontier_trainer	
UNOWN	อันโนน	frontier_trainer	
PLUSLE	พลาสุรุ	frontier_trainer	
VOLBEAT	บารุบีท	frontier_trainer	
MINUN	ไมนัน	frontier_trainer	
UNOWN	อันโนน	frontier_trainer	
UNOWN	อันโนน	frontier_trainer	
UNOWN	อันโนน	frontier_trainer	
SUNFLORA	คิมาวาริ	frontier_trainer	
RAIKOU	ไรโค	frontier_trainer	
MOLTRES	ไฟเยอร์	frontier_trainer	
SMEARGLE	โดเบิล	frontier_trainer	
SMEARGLE	โดเบิล	frontier_trainer	
SMEARGLE	โดเบิล	frontier_trainer	
SMEARGLE	โดเบิล	frontier_trainer	
SMEARGLE	โดเบิล	frontier_trainer	
SMEARGLE	โดเบิล	frontier_trainer	
BEEDRILL	สเปียร์	frontier_trainer	
BAYLEEF	เบย์ลีฟ	frontier_trainer	
WYNAUT	โซนาโนะ	frontier_trainer	
MAGBY	บูบี	frontier_trainer	
ENTEI	เอ็นเต	frontier_trainer	
MANTINE	แมนไทน์	frontier_trainer	
ZAPDOS	ธันเดอร์	frontier_trainer	
SUICUNE	ซุยคูน	frontier_trainer	
HOUNDOOM	เฮลการ์	frontier_trainer	
STANTLER	โอโดชิชิ	frontier_trainer	
ARTICUNO	ฟรีเซอร์	frontier_trainer	
SNORLAX	คาบิกอน	frontier_trainer	
SLAKING	เคคคิง	frontier_trainer	
ZANGOOSE	ซันกูส	frontier_trainer	
ESPEON	เอฟี	frontier_trainer	
SWELLOW	โอสึบาเมะ	frontier_trainer	
TYRANITAR	บันกิราส	frontier_trainer	
WOBBUFFET	โซนานส์	frontier_trainer	
LAPRAS	ลาพลาซ	frontier_trainer	
MISDREAVUS	มูมา	frontier_trainer	
RED	เรด	trainer_name	
BALL	ลูกบอล	dex_category	
BALL	ลูกบอล	dex_category	
DARKNESS	ความมืด	dex_category	
DARKNESS	ความมืด	dex_category	
DNA	ดีเอ็นเอ	dex_category	
BEEDRILL	สเปียร์	species	
PIKACHU	ปิกาจู	species	
MAGNEMITE	คอยล์	species	
SHELLDER	เชลเดอร์	species	
ONIX	อิวาร์ค	species	
MR. MIME	บาร์ริยาด	species	
JYNX	รูจูลา	species	
PINSIR	ไคลอส	species	
LAPRAS	ลาพลาซ	species	
DITTO	เมตามอน	species	
EEVEE	อีวุย	species	
VAPOREON	ชาวเวอร์ส	species	
FLAREON	บูสเตอร์	species	
PORYGON	โพรีกอน	species	
OMASTAR	ออมสตาร์	species	
KABUTO	คาบูโตะ	species	
KABUTOPS	คาบูท็อปส์	species	
AERODACTYL	พเทรา	species	
SNORLAX	คาบิกอน	species	
ARTICUNO	ฟรีเซอร์	species	
ZAPDOS	ธันเดอร์	species	
MOLTRES	ไฟเยอร์	species	
DRATINI	มินิริว	species	
DRAGONAIR	ฮาคุริว	species	
MEW	มิว	species	
BAYLEEF	เบย์ลีฟ	species	
MEGANIUM	เมกาเนียม	species	
TOTODILE	วานิโนโกะ	species	
FURRET	โอโอทาจิ	species	
HOOTHOOT	โฮโฮ	species	
LEDYBA	เรดีบา	species	
LEDIAN	เรดิอัน	species	
TOGETIC	โทเกชิก	species	
NATU	เนที	species	
XATU	เนทิโอ	species	
BELLOSSOM	คิเรฮานะ	species	
HOPPIP	ฮาเน็กโกะ	species	
JUMPLUFF	วาทักโกะ	species	
AIPOM	เอย์แพม	species	
SUNKERN	ฮิมานัทส์	species	
SUNFLORA	คิมาวาริ	species	
WOOPER	อุปา	species	
QUAGSIRE	นูโอ	species	
ESPEON	เอฟี	species	
UMBREON	แบล็คกี	species	
MURKROW	ยามิคาราสึ	species	
MISDREAVUS	มูมา	species	
UNOWN	อันโนน	species	
WOBBUFFET	โซนานส์	species	
GIRAFARIG	คิรินริกิ	species	
PINECO	คุนุกิดามะ	species	
STEELIX	ฮากาเนล	species	
SNUBBULL	บูลู	species	
QWILFISH	ฮารีเซน	species	
SCIZOR	ฮัซซัม	species	
SHUCKLE	สึโบสึโบะ	species	
SNEASEL	นิวลา	species	
TEDDIURSA	ฮิเมงุมะ	species	
PILOSWINE	อิโนมู	species	
CORSOLA	ซันนีโกะ	species	
REMORAID	เท็ปโปโอ	species	
DELIBIRD	เดลิเบิร์ด	species	
MANTINE	แมนไทน์	species	
SKARMORY	แอร์มุโด	species	
HOUNDOUR	เดลวิล	species	
HOUNDOOM	เฮลการ์	species	
PHANPY	โกมาโซ	species	
DONPHAN	ดอนแฟน	species	
STANTLER	โอโดชิชิ	species	
SMEARGLE	โดเบิล	species	
TYROGUE	บัลกี	species	
HITMONTOP	คาโปเอลาร์	species	
MAGBY	บูบี	species	
BLISSEY	แฮปปินาส	species	
RAIKOU	ไรโค	species	
ENTEI	เอ็นเต	species	
SUICUNE	ซุยคูน	species	
LARVITAR	โยกิราส	species	
PUPITAR	ซานากิราส	species	
TYRANITAR	บันกิราส	species	
LUGIA	ลูเกีย	species	
CELEBI	เซเลบี	species	
GROVYLE	จุปทรุ	species	
TORCHIC	อาชาโม	species	
MIGHTYENA	กราเอนา	species	
ZIGZAGOON	จิกุซากุมะ	species	
WURMPLE	เคมุสโซ	species	
SWELLOW	โอสึบาเมะ	species	
SHROOMISH	คิโนโคโคะ	species	
WINGULL	เคียโมเมะ	species	
WAILMER	โฮเอลโกะ	species	
WAILORD	โฮเอลโอ	species	
SKITTY	เอเนโกะ	species	
KECLEON	คาคุเรออน	species	
BALTOY	ยาจิลอน	species	
CLAYDOL	เนนดอล	species	
SABLEYE	ยามิรามิ	species	
LUVDISC	ลัฟคัส	species	
CRAWDAUNT	ชิซาริเกอร์	species	
FEEBAS	ฮินบาส	species	
CARVANHA	คิบาเนีย	species	
VIBRAVA	บิบราวา	species	
MAKUHITA	มาคุโนชิตะ	species	
NUMEL	ดอนเมล	species	
SEALEO	โทโดกลาร์	species	
CACNEA	ซาโบเนีย	species	
SNORUNT	ยูกิวาราชิ	species	
GLALIE	โอนิโกริ	species	
PLUSLE	พลาสุรุ	species	
MINUN	ไมนัน	species	
SWABLU	ชิรุตโตะ	species	
WYNAUT	โซนาโนะ	species	
DUSKULL	โยมาวารุ	species	
ROSELIA	โรเซเลีย	species	
SLAKOTH	นามาเคโระ	species	
SLAKING	เคคคิง	species	
SWALOT	มารุโนม	species	
CLAMPERL	เพิร์ลรู	species	
GOREBYSS	ซากุราบิส	species	
SEVIPER	ฮาบูเนก	species	
ZANGOOSE	ซันกูส	species	
LAIRON	โคโดรา	species	
VOLBEAT	บารุบีท	species	
CRADILY	ยูเรเดิล	species	
ARMALDO	อามัลโด	species	
RALTS	รัลทอส	species	
KIRLIA	คิลเลีย	species	
BELDUM	ดันบัล	species	
METAGROSS	เมทากรอส	species	
REGIROCK	เรจิร็อค	species	
KYOGRE	ไคออกา	species	
GROUDON	กราดอน	species	
JIRACHI	จิราชิ	species	
