en	th	kind	note
MATT	อุชิโอะ	characters	ผู้บริหารแก๊งอควา ชาย ห้าว | ข้า/ฉัน ลงท้าย เว้ย
SHELLY	อิซุมิ	characters	ผู้บริหารแก๊งอควา หญิง | ฉัน ลงท้าย นะ/ล่ะ
TEAM MAGMA	แก๊งแม็กม่า	characters	
TEAM AQUA	แก๊งอควา	characters	
MAGMA	แม็กม่า	characters	
AQUA	อควา	characters	
SCOTT	เอนิชิดะ	characters	ผม ลงท้าย ครับ/นะ อารมณ์ดี
ANABEL	ลิระ	characters	Frontier Brain หญิง | ฉัน ลงท้าย ค่ะ
TUCKER	ฮีธ	characters	Frontier Brain ชาย ขี้โอ่ | ผม/ข้า
SPENSER	อุคง	characters	Frontier Brain ชายชรา | ข้า
GRETA	โคโกมิ	characters	Frontier Brain หญิง ร่าเริง | ฉัน
NOLAND	ดัตสึระ	characters	Frontier Brain ชาย | ผม/ฉัน
LUCY	อาซามิ	characters	Frontier Brain หญิง เงียบขรึม | ฉัน พูดสั้น
BRANDON	จินได	characters	Frontier Brain ชาย นักสำรวจ | ข้า
LANETTE	มายุมิ	characters	ผู้พัฒนาระบบ PC | ฉัน ลงท้าย ค่ะ
CAPT. STERN	กัปตันคุสึโนกิ	characters	
STERN	คุสึโนกิ	characters	
MR. BRINEY	ลุงฮางิ	characters	ข้า ลงท้าย นะ
PEEKO	ปีโกะ	characters	
GABBY	มาริ	characters	
TY	ได	characters	
COZMO	ดร.โซราอิชิ	characters	
RYDEL	คาเซโนะ	characters	
PROF. OAK	ศาสตราจารย์โอคิโด	characters	
DEVON	เดวอน	characters	
DEVON CORPORATION	บริษัทเดวอน	characters	
HOENN	โฮเอ็น	characters	
KANTO	คันโต	characters	
JOHTO	โจโต	characters	
LITTLEROOT	มิชิโระ	characters	
OLDALE	โคโทกิ	characters	
PETALBURG	โทกะ	characters	
RUSTBORO	คานาซุมิ	characters	
DEWFORD	มุโระ	characters	
SLATEPORT	ไคนะ	characters	
MAUVILLE	คินเซ็ตสึ	characters	
VERDANTURF	ชิดาเกะ	characters	
FALLARBOR	ฮาจิตสึเกะ	characters	
LAVARIDGE	ฟุเอ็น	characters	
FORTREE	ฮิวามากิ	characters	
LILYCOVE	มินาโมะ	characters	
MOSSDEEP	โทคุซาเนะ	characters	
SOOTOPOLIS	รุเนะ	characters	
PACIFIDLOG	คินางิ	characters	
EVER GRANDE	ไซยู	characters	
TOWN / CITY	เมือง<ชื่อ>	characters	เช่น LITTLEROOT TOWN = เมืองมิชิโระ, RUSTBORO CITY = เมืองคานาซุมิ
ROUTE 101	เส้นทาง 101	characters	
POKéMON	โปเกมอน	characters	
POKéDEX	โปเกเด็กซ์	characters	
POKéNAV	โปเกนาวี	characters	
POKé BALL	มอนสเตอร์บอล	characters	
POKéMON CENTER	โปเกมอนเซ็นเตอร์	characters	
POKé MART	โปเกมาร์ท	characters	
POKéBLOCK	โปเกบล็อก	characters	
TRAINER	เทรนเนอร์	characters	
GYM LEADER	หัวหน้ายิม	characters	
ELITE FOUR	จตุรเทพ	characters	
CHAMPION	แชมเปี้ยน	characters	
BADGE	เข็มกลัด	characters	
BATTLE FRONTIER	แบทเทิลฟรอนเทียร์	characters	
FRONTIER BRAIN	ฟรอนเทียร์เบรน	characters	
SECRET BASE	ฐานลับ	characters	
CONTEST	คอนเทสต์	characters	
BERRY	เบอร์รี่	characters	
HM / TM	HM / TM	characters	
move	ท่า	characters	
ability	คุณสมบัติ	characters	
EGG	ไข่	characters	
CHERI	คุราโบ	berry_name	
ORAN	โอเรน	berry_name	
ENIGMA	นาโซะ	berry_name	
SLIDE	สไลเดอร์	decoration	
TV	ทีวี	decoration	
POKé BALL	มอนสเตอร์บอล	item	
ENIGMA BERRY	ผลนาโซะ	item	
MAGNET	แม่เหล็ก	item	
{POKEBLOCK} CASE	กล่อง{POKEBLOCK}	item	
LETTER	จดหมาย	item	
RUBY	ทับทิม	item	
SAPPHIRE	ไพลิน	item	
SECRET BASE	ฐานลับ	location	
NORMAL	ปกติ	type	
FIGHT	ต่อสู้	type	
FLYING	บิน	type	
POISON	พิษ	type	
GROUND	ดิน	type	
ROCK	หิน	type	
BUG	แมลง	type	
GHOST	ผี	type	
STEEL	เหล็ก	type	
FIRE	ไฟ	type	
WATER	น้ำ	type	
GRASS	หญ้า	type	
ICE	น้ำแข็ง	type	
DRAGON	มังกร	type	
DARK	ความมืด	type	
STENCH	กลิ่นเหม็น	ability	
DRIZZLE	เรียกฝน	ability	
SPEED BOOST	เร่งความเร็ว	ability	
BATTLE ARMOR	เกราะรบ	ability	
STURDY	ทนทาน	ability	
DAMP	ความชื้น	ability	
LIMBER	ยืดหยุ่น	ability	
SAND VEIL	ซ่อนในทราย	ability	
STATIC	ไฟฟ้าสถิต	ability	
VOLT ABSORB	ดูดซับไฟฟ้า	ability	
WATER ABSORB	ดูดซับน้ำ	ability	
OBLIVIOUS	ประสาทช้า	ability	
CLOUD NINE	ไร้กังวล	ability	
COMPOUNDEYES	ตาประกอบ	ability	
INSOMNIA	นอนไม่หลับ	ability	
COLOR CHANGE	เปลี่ยนสี	ability	
IMMUNITY	ภูมิคุ้มกัน	ability	
FLASH FIRE	รับเปลวไฟ	ability	
SHIELD DUST	ผงเกล็ด	ability	
OWN TEMPO	จังหวะตัวเอง	ability	
SUCTION CUPS	ปุ่มดูด	ability	
INTIMIDATE	ข่มขู่	ability	
SHADOW TAG	เหยียบเงา	ability	
ROUGH SKIN	ผิวฉลาม	ability	
WONDER GUARD	ปกป้องลึกลับ	ability	
LEVITATE	ลอยตัว	ability	
EFFECT SPORE	ละอองสปอร์	ability	
SYNCHRONIZE	ซิงโคร	ability	
CLEAR BODY	ร่างโปร่งใส	ability	
NATURAL CURE	ฟื้นตัวเอง	ability	
LIGHTNINGROD	สายล่อฟ้า	ability	
SERENE GRACE	พรสวรรค์	ability	
SWIFT SWIM	ว่ายน้ำฉิว	ability	
CHLOROPHYLL	คลอโรฟิลล์	ability	
ILLUMINATE	เรืองแสง	ability	
TRACE	ลอกแบบ	ability	
HUGE POWER	แรงมหาศาล	ability	
POISON POINT	หนามพิษ	ability	
INNER FOCUS	จิตแน่วแน่	ability	
MAGMA ARMOR	เกราะแม็กม่า	ability	
WATER VEIL	ม่านน้ำ	ability	
MAGNET PULL	แรงแม่เหล็ก	ability	
SOUNDPROOF	กันเสียง	ability	
RAIN DISH	จานรับฝน	ability	
SAND STREAM	ก่อพายุทราย	ability	
PRESSURE	กดดัน	ability	
THICK FAT	ไขมันหนา	ability	
EARLY BIRD	ตื่นเช้า	ability	
FLAME BODY	ร่างเพลิง	ability	
RUN AWAY	หนีเก่ง	ability	
KEEN EYE	ตาเฉียบคม	ability	
HYPER CUTTER	ก้ามทรงพลัง	ability	
PICKUP	เก็บของ	ability	
TRUANT	ขี้เกียจ	ability	
HUSTLE	ฮึกเหิม	ability	
CUTE CHARM	ร่างมีเสน่ห์	ability	
PLUS	พลัส	ability	
MINUS	ไมนัส	ability	
FORECAST	พยากรณ์อากาศ	ability	
STICKY HOLD	เหนียวหนึบ	ability	
SHED SKIN	ลอกคราบ	ability	
GUTS	ใจสู้	ability	
MARVEL SCALE	เกล็ดลึกลับ	ability	
LIQUID OOZE	เมือกพิษ	ability	
OVERGROW	ใบไม้แกร่ง	ability	
BLAZE	เพลิงโหม	ability	
TORRENT	กระแสเชี่ยว	ability	
SWARM	สัญญาณแมลง	ability	
ROCK HEAD	หัวหิน	ability	
DROUGHT	ภัยแล้ง	ability	
ARENA TRAP	หลุมกับดัก	ability	
VITAL SPIRIT	กระตือรือร้น	ability	
WHITE SMOKE	ควันขาว	ability	
PURE POWER	พลังโยคะ	ability	
SHELL ARMOR	เกราะเปลือก	ability	
AIR LOCK	แอร์ล็อก	ability	
SURF	โต้คลื่น	move	
ABSORB	ดูดซับ	move	
THUNDER	ฟ้าผ่า	move	
FISSURE	แผ่นดินแยก	move	
PSYCHIC	ไซโคคิเนซิส	move	
MIRROR MOVE	สะท้อนท่า	move	
FIRE BLAST	ไดมอนจิ	move	
SWIFT	สปีดสตาร์	move	
SPORE	สปอร์เห็ด	move	
FLASH	แฟลช	move	
SUBSTITUTE	ตัวตายตัวแทน	move	
SPIKES	โปรยหนาม	move	
CHARM	ออดอ้อน	move	
ATTRACT	หลงเสน่ห์	move	
SPIT UP	คายพลัง	move	
SWALLOW	กลืนพลัง	move	
BOUNCE	กระโดดเด้ง	move	
DOCILE	เชื่อฟัง	nature	
SERIOUS	จริงจัง	nature	
LADY	คุณหนู	trainer_class	
BEAUTY	สาวสวย	trainer_class	
PSYCHIC	ผู้มีพลังจิต	trainer_class	
LEADER	หัวหน้ายิม	trainer_class	
CHAMPION	แชมเปี้ยน	trainer_class	
FLAME	เปลวไฟ	dex_category	
FLAME	เปลวไฟ	dex_category	
BIRD	นก	dex_category	
BIRD	นก	dex_category	
ROCK	หิน	dex_category	
ROCK	หิน	dex_category	
MAGNET	แม่เหล็ก	dex_category	
MAGNET	แม่เหล็ก	dex_category	
SHADOW	เงา	dex_category	
BALL	ลูกบอล	dex_category	
BALL	ลูกบอล	dex_category	
EGG	ไข่	dex_category	
SPIKES	หนามแหลม	dex_category	
EGG	ไข่	dex_category	
PARENT	แม่ลูก	dex_category	
DRAGON	มังกร	dex_category	
DRAGON	มังกร	dex_category	
ELECTRIC	ไฟฟ้า	dex_category	
EVOLUTION	วิวัฒนาการ	dex_category	
FLAME	เปลวไฟ	dex_category	
ELECTRIC	ไฟฟ้า	dex_category	
FLAME	เปลวไฟ	dex_category	
DRAGON	มังกร	dex_category	
DRAGON	มังกร	dex_category	
DRAGON	มังกร	dex_category	
LEAF	ใบไม้	dex_category	
LEAF	ใบไม้	dex_category	
LIGHT	แสงไฟ	dex_category	
HAPPINESS	ความสุข	dex_category	
LIGHT	แสงไฟ	dex_category	
DARK	มืดมิด	dex_category	
DARK	มืดมิด	dex_category	
DRAGON	มังกร	dex_category	
ARMOR	เกราะ	dex_category	
ELECTRIC	ไฟฟ้า	dex_category	
HAPPINESS	ความสุข	dex_category	
THUNDER	ฟ้าผ่า	dex_category	
ARMOR	เกราะ	dex_category	
BLAZE	เพลิงโหม	dex_category	
SWALLOW	นกนางแอ่น	dex_category	
FEELING	ความรู้สึก	dex_category	
SHED	คราบ	dex_category	
GUTS	ใจสู้	dex_category	
BOUNCE	กระโดด	dex_category	
DISASTER	ภัยพิบัติ	dex_category	
ROCK HEAD	หัวหิน	dex_category	
DRAGON	มังกร	dex_category	
BULBASAUR	ฟุชิกิดาเนะ	species	
IVYSAUR	ฟุชิกิโซ	species	
VENUSAUR	ฟุชิกิบานะ	species	
CHARMANDER	ฮิโตคาเงะ	species	
CHARIZARD	ลิซาร์ดอน	species	
SQUIRTLE	เซนิกาเมะ	species	
METAPOD	ทรานเซล	species	
WEEDLE	บีเดิล	species	
BEEDRILL	สเปียร์	species	
PIDGEOT	พีเจียต	species	
RATTATA	โครัตตา	species	
RATICATE	รัตตา	species	
EKANS	อาร์โบ	species	
PIKACHU	ปิกาจู	species	
NIDOKING	นิโดคิง	species	
CLEFAIRY	ปิปปี	species	
CLEFABLE	พิคซี	species	
NINETALES	คิวคอน	species	
JIGGLYPUFF	พูริน	species	
WIGGLYTUFF	พูคูริน	species	
VILEPLUME	รัฟเฟรเซีย	species	
PARAS	พารัส	species	
PARASECT	พาราเซ็กต์	species	
VENOMOTH	มอร์ฟอน	species	
DIGLETT	ดิกดา	species	
MEOWTH	เนียส	species	
PERSIAN	เปอร์เซียน	species	
GOLDUCK	โกลดัก	species	
ALAKAZAM	ฟูดิน	species	
MACHOKE	โกริกี	species	
BELLSPROUT	มาดาสึโบมิ	species	
WEEPINBELL	อุซึดง	species	
PONYTA	โพนีตา	species	
RAPIDASH	แกลล็อป	species	
MAGNEMITE	คอยล์	species	
SEEL	พาววาว	species	
MUK	เบโทเบตัน	species	
SHELLDER	เชลเดอร์	species	
CLOYSTER	พาร์เชน	species	
GASTLY	โกส	species	
HAUNTER	โกสท์	species	
GENGAR	เก็งกา	species	
ONIX	อิวาร์ค	species	
DROWZEE	สลีป	species	
HYPNO	สลีปเปอร์	species	
KRABBY	แครบ	species	
EXEGGCUTE	ทามะทามะ	species	
EXEGGUTOR	นัชชี	species	
CUBONE	คาระคาระ	species	
MAROWAK	การะการะ	species	
HITMONCHAN	เอบิวาลาร์	species	
KOFFING	โดกาส	species	
WEEZING	มาตาโดกาส	species	
CHANSEY	ลัคกี	species	
KANGASKHAN	การูรา	species	
GOLDEEN	โทซาคินโตะ	species	
DITTO	เมตามอน	species	
CHIKORITA	ชิโครีตา	species	
CYNDAQUIL	ฮิโนอาราชิ	species	
TOTODILE	วานิโนโกะ	species	
PICHU	พิชู	species	
TOGEPI	โทเกปี	species	
MARILL	มาริล	species	
SMOOCHUM	มุชูล	species	
TREECKO	คิโมริ	species	
TORCHIC	อาชาโม	species	
MUDKIP	มิซึโกโร	species	
ZIGZAGOON	จิกุซากุมะ	species	
LOTAD	ฮาซึโบ	species	
SEEDOT	ทาเนโบ	species	
SPINDA	พัทชีล	species	
WINGULL	เคียโมเมะ	species	
SKITTY	เอเนโกะ	species	
KECLEON	คาคุเรออน	species	
BALTOY	ยาจิลอน	species	
SABLEYE	ยามิรามิ	species	
AZURILL	รูริริ	species	
SWABLU	ชิรุตโตะ	species	
WYNAUT	โซนาโนะ	species	
DUSKULL	โยมาวารุ	species	
GULPIN	โกคูลิน	species	
SEVIPER	ฮาบูเนก	species	
RELICANTH	จีแลนซ์	species	
