en	th	kind	note
MATT	อุชิโอะ	characters	ผู้บริหารแก๊งอควา ชาย ห้าว | ข้า/ฉัน ลงท้าย เว้ย
SHELLY	อิซุมิ	characters	ผู้บริหารแก๊งอควา หญิง | ฉัน ลงท้าย นะ/ล่ะ
TEAM MAGMA	แก๊งแม็กม่า	characters	
TEAM AQUA	แก๊งอควา	characters	
MAGMA	แม็กม่า	characters	
AQUA	อควา	characters	
SCOTT	เอนิชิดะ	characters	ผม ลงท้าย ครับ/นะ อารมณ์ดี
ANABEL	ลิระ	characters	Frontier Brain หญิง | ฉัน ลงท้าย ค่ะ
TUCKER	ฮีธ	characters	Frontier Brain ชาย ขี้โอ่ | ผม/ข้า
SPENSER	อุคง	characters	Frontier Brain ชายชรา | ข้า
GRETA	โคโกมิ	characters	Frontier Brain หญิง ร่าเริง | ฉัน
NOLAND	ดัตสึระ	characters	Frontier Brain ชาย | ผม/ฉัน
LUCY	อาซามิ	characters	Frontier Brain หญิง เงียบขรึม | ฉัน พูดสั้น
BRANDON	จินได	characters	Frontier Brain ชาย นักสำรวจ | ข้า
LANETTE	มายุมิ	characters	ผู้พัฒนาระบบ PC | ฉัน ลงท้าย ค่ะ
CAPT. STERN	กัปตันคุสึโนกิ	characters	
STERN	คุสึโนกิ	characters	
MR. BRINEY	ลุงฮางิ	characters	ข้า ลงท้าย นะ
PEEKO	ปีโกะ	characters	
GABBY	มาริ	characters	
TY	ได	characters	
COZMO	ดร.โซราอิชิ	characters	
RYDEL	คาเซโนะ	characters	
PROF. OAK	ศาสตราจารย์โอคิโด	characters	
DEVON	เดวอน	characters	
DEVON CORPORATION	บริษัทเดวอน	characters	
HOENN	โฮเอ็น	characters	
KANTO	คันโต	characters	
JOHTO	โจโต	characters	
LITTLEROOT	มิชิโระ	characters	
OLDALE	โคโทกิ	characters	
PETALBURG	โทกะ	characters	
RUSTBORO	คานาซุมิ	characters	
DEWFORD	มุโระ	characters	
SLATEPORT	ไคนะ	characters	
MAUVILLE	คินเซ็ตสึ	characters	
VERDANTURF	ชิดาเกะ	characters	
FALLARBOR	ฮาจิตสึเกะ	characters	
LAVARIDGE	ฟุเอ็น	characters	
FORTREE	ฮิวามากิ	characters	
LILYCOVE	มินาโมะ	characters	
MOSSDEEP	โทคุซาเนะ	characters	
SOOTOPOLIS	รุเนะ	characters	
PACIFIDLOG	คินางิ	characters	
EVER GRANDE	ไซยู	characters	
TOWN / CITY	เมือง<ชื่อ>	characters	เช่น LITTLEROOT TOWN = เมืองมิชิโระ, RUSTBORO CITY = เมืองคานาซุมิ
ROUTE 101	เส้นทาง 101	characters	
POKéMON	โปเกมอน	characters	
POKéDEX	โปเกเด็กซ์	characters	
POKéNAV	โปเกนาวี	characters	
POKé BALL	POKé BALL	characters	ชื่อไอเท็ม คงภาษาอังกฤษ
POKéMON CENTER	โปเกมอนเซ็นเตอร์	characters	
POKé MART	โปเกมาร์ท	characters	
POKéBLOCK	โปเกบล็อก	characters	
TRAINER	เทรนเนอร์	characters	
GYM LEADER	หัวหน้ายิม	characters	
ELITE FOUR	จตุรเทพ	characters	
CHAMPION	แชมเปี้ยน	characters	
BADGE	เข็มกลัด	characters	
BATTLE FRONTIER	แบทเทิลฟรอนเทียร์	characters	
FRONTIER BRAIN	ฟรอนเทียร์เบรน	characters	
SECRET BASE	ฐานลับ	characters	
CONTEST	คอนเทสต์	characters	
BERRY	เบอร์รี่	characters	คำทั่วไปใช้ เบอร์รี่ แต่ชื่อไอเท็มเบอร์รี่ (เช่น ORAN BERRY) คงภาษาอังกฤษ
HM / TM	HM / TM	characters	ชื่อไอเท็ม คงภาษาอังกฤษ
move	ท่า	characters	
ability	คุณสมบัติ	characters	
EGG	ไข่	characters	
BEAUTY	สวยงาม	contest	ประเภทคอนเทสต์; BEAUTY CONTEST = คอนเทสต์ความสวยงาม
CUTE	น่ารัก	contest	ประเภทคอนเทสต์; CUTENESS = ความน่ารัก
SMART	ฉลาด	contest	ประเภทคอนเทสต์; SMARTNESS = ความฉลาด
appeal	การแสดง	contest	
JUDGE	กรรมการ	contest	
BATTLE TENT	แบทเทิลเต็นท์	frontier	
FIRE	FIRE	type	คงภาษาอังกฤษตามต้นฉบับ
WATER	WATER	type	คงภาษาอังกฤษตามต้นฉบับ
GRASS	GRASS	type	คงภาษาอังกฤษตามต้นฉบับ
DRAGON	DRAGON	type	คงภาษาอังกฤษตามต้นฉบับ
POKé BALL	POKé BALL	item	คงภาษาอังกฤษตามต้นฉบับ
IRON	IRON	item	คงภาษาอังกฤษตามต้นฉบับ
CARBOS	CARBOS	item	คงภาษาอังกฤษตามต้นฉบับ
CALCIUM	CALCIUM	item	คงภาษาอังกฤษตามต้นฉบับ
ZINC	ZINC	item	คงภาษาอังกฤษตามต้นฉบับ
POKé DOLL	POKé DOLL	item	คงภาษาอังกฤษตามต้นฉบับ
BLUE ORB	BLUE ORB	item	คงภาษาอังกฤษตามต้นฉบับ
METEORITE	METEORITE	item	คงภาษาอังกฤษตามต้นฉบับ
MAGMA EMBLEM	MAGMA EMBLEM	item	คงภาษาอังกฤษตามต้นฉบับ
SURF	SURF	move	คงภาษาอังกฤษตามต้นฉบับ
AURORA BEAM	AURORA BEAM	move	คงภาษาอังกฤษตามต้นฉบับ
COUNTER	COUNTER	move	คงภาษาอังกฤษตามต้นฉบับ
PETAL DANCE	PETAL DANCE	move	คงภาษาอังกฤษตามต้นฉบับ
LEECH LIFE	LEECH LIFE	move	คงภาษาอังกฤษตามต้นฉบับ
WATER SPORT	WATER SPORT	move	คงภาษาอังกฤษตามต้นฉบับ
TV	ทีวี	decoration	
LITTLEROOT TOWN	เมืองมิชิโระ	location	
SLATEPORT CITY	เมืองไคนะ	location	
LILYCOVE CITY	เมืองมินาโมะ	location	
ROUTE 103	เส้นทาง 103	location	
ROUTE 131	เส้นทาง 131	location	
BATTLE FRONTIER	แบทเทิลฟรอนเทียร์	location	
SKY PILLAR	เสาแห่งท้องฟ้า	location	
ROUTE 10	เส้นทาง 10	location	
ROUTE 1	เส้นทาง 1	location	
ROUTE 10	เส้นทาง 10	location	
ROUTE 13	เส้นทาง 13	location	
AQUA HIDEOUT	ฐานแก๊งอควา	location	
TEAM AQUA	แก๊งอควา	trainer_class	
TEAM MAGMA	แก๊งแม็กม่า	trainer_class	
INTERVIEWER	ผู้สัมภาษณ์	trainer_class	
TUBER	เด็กห่วงยาง	trainer_class	
TUBER	เด็กห่วงยาง	trainer_class	
BEAUTY	สาวสวย	trainer_class	
LEADER	หัวหน้ายิม	trainer_class	
CHAMPION	แชมเปี้ยน	trainer_class	
TWINS	ฝาแฝด	trainer_class	
AZURILL	รูริริ	frontier_trainer	
DEVON	เดวอน	contest_opponent	
BRAWLY	โทคิ	trainer_name	
NORMAN	เซ็นริ	trainer_name	
WALLY	มิตสึรุ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAXIE	มัตสึบุสะ	trainer_name	
MAXIE	มัตสึบุสะ	trainer_name	
WALLY	มิตสึรุ	trainer_name	
WALLY	มิตสึรุ	trainer_name	
WALLY	มิตสึรุ	trainer_name	
WALLY	มิตสึรุ	trainer_name	
WALLY	มิตสึรุ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAXIE	มัตสึบุสะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
MAY	ฮารุกะ	trainer_name	
BRAWLY	โทคิ	trainer_name	
BRAWLY	โทคิ	trainer_name	
BRAWLY	โทคิ	trainer_name	
BRAWLY	โทคิ	trainer_name	
NORMAN	เซ็นริ	trainer_name	
NORMAN	เซ็นริ	trainer_name	
NORMAN	เซ็นริ	trainer_name	
NORMAN	เซ็นริ	trainer_name	
BRENDAN	ยูกิ	trainer_name	
MAY	ฮารุกะ	trainer_name	
BIRD	นก	dex_category	
BIRD	นก	dex_category	
BALL	ลูกบอล	dex_category	
BALL	ลูกบอล	dex_category	
EGG	ไข่	dex_category	
EGG	ไข่	dex_category	
DRAGON	มังกร	dex_category	
DRAGON	มังกร	dex_category	
DRAGON	มังกร	dex_category	
DRAGON	มังกร	dex_category	
DRAGON	มังกร	dex_category	
DRAGON	มังกร	dex_category	
AURORA	ออโรรา	dex_category	
METEORITE	อุกกาบาต	dex_category	
METEORITE	อุกกาบาต	dex_category	
DRAGON	มังกร	dex_category	
IRON	เหล็กกล้า	dex_category	
ZUBAT	ซูแบท	species	
CHIKORITA	ชิโครีตา	species	
CYNDAQUIL	ฮิโนอาราชิ	species	
TOTODILE	วานิโนโกะ	species	
AZUMARILL	มาริลลิ	species	
KECLEON	คาคุเรออน	species	
AZURILL	รูริริ	species	
RALTS	รัลทอส	species	
GROUDON	กราดอน	species	
